"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"1133","164.590758","192.168.137.185","64.233.186.188","TCP","66","38754  >  5228 [ACK] Seq=647 Ack=56985 Win=561 Len=0 TSval=1890819797 TSecr=1748338249","Jul  6, 2023 09:03:20.781065000 Hora oficial do Brasil","0.040615000"
"1134","164.608491","192.168.137.185","157.240.216.61","TCP","74","37850  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3990748137 TSecr=0 WS=512","Jul  6, 2023 09:03:20.798798000 Hora oficial do Brasil","0.017733000"
"1135","164.670147","64.233.186.188","192.168.137.185","TLSv1.2","339","[TCP Previous segment not captured] , Application Data","Jul  6, 2023 09:03:20.860454000 Hora oficial do Brasil","0.061656000"
"1136","164.701833","192.168.137.185","64.233.186.188","TCP","78","[TCP Dup ACK 1133#1] 38754  >  5228 [ACK] Seq=647 Ack=56985 Win=561 Len=0 TSval=1890819908 TSecr=1748338249 SLE=58385 SRE=58658","Jul  6, 2023 09:03:20.892140000 Hora oficial do Brasil","0.031686000"
"1139","165.098987","64.233.186.188","192.168.137.185","TCP","66","5228  >  38754 [ACK] Seq=58658 Ack=647 Win=266 Len=0 TSval=1748338733 TSecr=1890818234","Jul  6, 2023 09:03:21.289294000 Hora oficial do Brasil","0.105111000"
"1140","165.114183","192.168.137.185","142.251.135.68","TCP","74","[TCP Retransmission] 40422  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1564552584 TSecr=0 WS=512","Jul  6, 2023 09:03:21.304490000 Hora oficial do Brasil","0.015196000"
"1141","165.114571","20.42.72.131","192.168.137.185","TCP","66","443  >  40624 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM","Jul  6, 2023 09:03:21.304878000 Hora oficial do Brasil","0.000388000"
"1142","165.116420","192.168.137.185","20.42.72.131","TCP","54","40624  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0","Jul  6, 2023 09:03:21.306727000 Hora oficial do Brasil","0.001849000"
"1143","165.123139","192.168.137.185","20.42.72.131","TLSv1.2","571","Client Hello","Jul  6, 2023 09:03:21.313446000 Hora oficial do Brasil","0.006719000"
"1144","165.399735","192.168.137.185","20.42.72.131","TCP","74","[TCP Retransmission] 40616  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1383736055 TSecr=0 WS=512","Jul  6, 2023 09:03:21.590042000 Hora oficial do Brasil","0.276596000"
"1145","165.540256","52.114.133.223","192.168.137.185","TCP","1514","[TCP Retransmission] 443  >  41456 [PSH, ACK] Seq=4673 Ack=518 Win=525056 Len=1460","Jul  6, 2023 09:03:21.730563000 Hora oficial do Brasil","0.140521000"
"1146","165.542959","192.168.137.185","52.114.133.223","TCP","74","[TCP Window Update] 41456  >  443 [ACK] Seq=518 Ack=1461 Win=74752 Len=0 SLE=5841 SRE=6133 SLE=4673 SRE=6133","Jul  6, 2023 09:03:21.733266000 Hora oficial do Brasil","0.002703000"
"1147","165.648331","192.168.137.185","157.240.216.61","TCP","74","[TCP Retransmission] 37850  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3990749164 TSecr=0 WS=512","Jul  6, 2023 09:03:21.838638000 Hora oficial do Brasil","0.105372000"
"1148","166.100111","3.33.221.48","192.168.137.185","TCP","66","80  >  37416 [FIN, ACK] Seq=1160 Ack=307 Win=277 Len=0 TSval=627327340 TSecr=4022330344","Jul  6, 2023 09:03:22.290418000 Hora oficial do Brasil","0.451780000"
