"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"685","158.915690","52.226.139.185","192.168.10.105","TCP","225","[TCP Spurious Retransmission] 443  >  56739 [PSH, ACK] Seq=1 Ack=102 Win=7209 Len=171","Jul  5, 2023 20:43:44.056821000 Hora oficial do Brasil","0.226519000"
"686","158.915947","192.168.10.105","40.76.151.151","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message","Jul  5, 2023 20:43:44.057078000 Hora oficial do Brasil","0.000257000"
"688","159.155582","192.168.10.105","52.226.139.185","TCP","66","[TCP Dup ACK 682#1] 56739  >  443 [ACK] Seq=102 Ack=172 Win=514 Len=0 SLE=1 SRE=172","Jul  5, 2023 20:43:44.296713000 Hora oficial do Brasil","0.034408000"
"689","159.164022","40.76.151.151","192.168.10.105","TCP","54","443  >  57120 [ACK] Seq=4338 Ack=277 Win=64512 Len=0","Jul  5, 2023 20:43:44.305153000 Hora oficial do Brasil","0.008440000"
"690","159.164022","40.76.151.151","192.168.10.105","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message","Jul  5, 2023 20:43:44.305153000 Hora oficial do Brasil","0.000000000"
"691","159.381129","192.168.10.105","40.76.151.151","TCP","1454","57120  >  443 [ACK] Seq=277 Ack=4389 Win=131328 Len=1400 [TCP segment of a reassembled PDU]","Jul  5, 2023 20:43:44.522260000 Hora oficial do Brasil","0.217107000"
"692","159.385937","192.168.10.105","40.76.151.151","TLSv1.2","676","Application Data","Jul  5, 2023 20:43:44.527068000 Hora oficial do Brasil","0.004808000"
"693","159.499112","192.168.10.105","224.0.0.252","IGMPv2","46","Membership Report group 224.0.0.252","Jul  5, 2023 20:43:44.640243000 Hora oficial do Brasil","0.113175000"
"694","159.504036","192.168.10.105","224.0.0.252","IGMPv2","46","Membership Report group 224.0.0.252","Jul  5, 2023 20:43:44.645167000 Hora oficial do Brasil","0.004924000"
"695","159.505715","192.168.10.105","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251","Jul  5, 2023 20:43:44.646846000 Hora oficial do Brasil","0.001679000"
"696","159.506491","192.168.10.105","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251","Jul  5, 2023 20:43:44.647622000 Hora oficial do Brasil","0.000776000"
"697","159.634845","40.76.151.151","192.168.10.105","TCP","54","443  >  57120 [ACK] Seq=4389 Ack=1677 Win=64512 Len=0","Jul  5, 2023 20:43:44.775976000 Hora oficial do Brasil","0.128354000"
"698","159.634845","40.76.151.151","192.168.10.105","TCP","54","443  >  57120 [ACK] Seq=4389 Ack=2299 Win=64512 Len=0","Jul  5, 2023 20:43:44.775976000 Hora oficial do Brasil","0.000000000"
"699","159.877083","192.168.10.105","40.76.151.151","TLSv1.2","129","Application Data","Jul  5, 2023 20:43:45.018214000 Hora oficial do Brasil","0.242238000"
"700","160.147827","40.76.151.151","192.168.10.105","TCP","54","443  >  57120 [ACK] Seq=4389 Ack=2374 Win=64512 Len=0","Jul  5, 2023 20:43:45.288958000 Hora oficial do Brasil","0.270744000"
"701","160.147827","40.76.151.151","192.168.10.105","TLSv1.2","1067","Application Data","Jul  5, 2023 20:43:45.288958000 Hora oficial do Brasil","0.000000000"
"702","160.460889","192.168.10.105","40.76.151.151","TCP","54","57120  >  443 [ACK] Seq=2374 Ack=5402 Win=130304 Len=0","Jul  5, 2023 20:43:45.602020000 Hora oficial do Brasil","0.313062000"
"703","162.583199","192.168.10.105","20.120.122.254","TCP","1454","57117  >  443 [ACK] Seq=15804 Ack=7928 Win=131584 Len=1400 [TCP segment of a reassembled PDU]","Jul  5, 2023 20:43:47.724330000 Hora oficial do Brasil","2.122310000"
"704","162.588094","192.168.10.105","20.120.122.254","TLSv1.2","685","Application Data","Jul  5, 2023 20:43:47.729225000 Hora oficial do Brasil","0.004895000"
"705","162.589131","192.168.10.105","20.120.122.254","TCP","1454","57117  >  443 [ACK] Seq=17835 Ack=7928 Win=131584 Len=1400 [TCP segment of a reassembled PDU]","Jul  5, 2023 20:43:47.730262000 Hora oficial do Brasil","0.001037000"
"706","162.589756","192.168.10.105","20.120.122.254","TCP","1454","57117  >  443 [ACK] Seq=19235 Ack=7928 Win=131584 Len=1400 [TCP segment of a reassembled PDU]","Jul  5, 2023 20:43:47.730887000 Hora oficial do Brasil","0.000625000"
"707","162.591850","192.168.10.105","20.120.122.254","TLSv1.2","352","Application Data","Jul  5, 2023 20:43:47.732981000 Hora oficial do Brasil","0.002094000"
"708","162.909568","20.120.122.254","192.168.10.105","TCP","54","443  >  57117 [ACK] Seq=7928 Ack=17835 Win=64512 Len=0","Jul  5, 2023 20:43:48.050699000 Hora oficial do Brasil","0.317718000"
"709","162.909568","20.120.122.254","192.168.10.105","TCP","54","443  >  57117 [ACK] Seq=7928 Ack=19235 Win=64512 Len=0","Jul  5, 2023 20:43:48.050699000 Hora oficial do Brasil","0.000000000"
"710","162.909568","20.120.122.254","192.168.10.105","TCP","54","443  >  57117 [ACK] Seq=7928 Ack=20635 Win=64512 Len=0","Jul  5, 2023 20:43:48.050699000 Hora oficial do Brasil","0.000000000"
"711","162.909568","20.120.122.254","192.168.10.105","TCP","54","443  >  57117 [ACK] Seq=7928 Ack=20933 Win=64512 Len=0","Jul  5, 2023 20:43:48.050699000 Hora oficial do Brasil","0.000000000"
"712","162.909568","20.120.122.254","192.168.10.105","TLSv1.2","939","Application Data","Jul  5, 2023 20:43:48.050699000 Hora oficial do Brasil","0.000000000"
"713","163.252891","192.168.10.105","20.120.122.254","TCP","54","57117  >  443 [ACK] Seq=20933 Ack=8813 Win=130560 Len=0","Jul  5, 2023 20:43:48.394022000 Hora oficial do Brasil","0.343323000"
"718","165.964619","192.168.10.105","20.62.59.58","TLSv1.2","100","Application Data","Jul  5, 2023 20:43:51.105750000 Hora oficial do Brasil","0.383732000"
"719","166.298335","20.62.59.58","192.168.10.105","TCP","54","443  >  56959 [ACK] Seq=421 Ack=553 Win=501 Len=0","Jul  5, 2023 20:43:51.439466000 Hora oficial do Brasil","0.333716000"
"721","166.668037","192.168.10.105","155.133.227.34","TLSv1.2","108","Application Data","Jul  5, 2023 20:43:51.809168000 Hora oficial do Brasil","0.174762000"
"722","166.874970","192.168.10.105","20.120.122.254","TCP","54","57113  >  443 [RST, ACK] Seq=26106 Ack=9735 Win=0 Len=0","Jul  5, 2023 20:43:52.016101000 Hora oficial do Brasil","0.206933000"
"723","166.880169","155.133.227.34","192.168.10.105","TCP","54","27031  >  56787 [ACK] Seq=1 Ack=379 Win=1027 Len=0","Jul  5, 2023 20:43:52.021300000 Hora oficial do Brasil","0.005199000"
"724","167.824656","20.62.59.58","192.168.10.105","TLSv1.2","96","Application Data","Jul  5, 2023 20:43:52.965787000 Hora oficial do Brasil","0.944487000"
